#Frame       nmp-core     lid-core
       1      78.6450     132.9476
       2      80.8311     131.9081
       3      79.9916     129.8777
       4      80.9969     135.0433
       5      78.9937     133.3860
       6      78.1832     135.4674
       7      76.7303     139.4696
       8      74.6239     141.4819
       9      74.3599     142.8406
      10      76.8426     144.6265
      11      74.3652     146.2482
      12      77.6420     145.5255
      13      77.0318     146.6316
      14      77.3682     143.8068
      15      78.0656     142.6048
      16      75.5995     143.6450
      17      77.0520     143.5318
      18      78.9821     143.1460
      19      75.4830     146.2737
      20      75.7087     145.2187
      21      76.2691     147.9051
      22      76.2541     150.8575
      23      74.5323     149.3655
      24      76.3766     148.7790
      25      77.1884     152.7913
      26      77.8994     153.2594
      27      78.5357     149.9563
      28      76.8773     150.8574
      29      77.4782     151.4723
      30      78.7610     146.0691
      31      79.3928     145.6444
      32      77.0778     146.8679
      33      75.7192     147.2979
      34      75.4920     146.2311
      35      76.8744     146.5953
      36      76.1269     144.5863
      37      76.0796     148.2575
      38      75.1241     148.9761
      39      77.1679     146.2398
      40      75.7521     147.7329
      41      73.3615     145.8530
      42      75.5865     142.3099
      43      78.3458     141.7239
      44      77.6591     143.5842
      45      75.8914     141.0661
      46      76.2249     144.2706
      47      77.4144     147.6491
      48      78.8194     144.3694
      49      79.7878     141.4387
      50      76.8318     139.6399
      51      78.7496     140.7190
      52      78.7769     141.1370
      53      79.5664     141.7351
      54      77.5388     144.1758
      55      76.0784     143.1606
      56      75.7773     141.5351
      57      75.2474     140.9742
      58      78.4035     139.7957
      59      75.4914     140.0628
      60      75.5884     138.6917
      61      73.6558     138.3795
      62      74.4869     138.0149
      63      74.0174     140.6343
      64      77.3790     138.4329
      65      76.5052     134.7708
      66      78.1759     134.1383
      67      76.2757     130.7822
      68      77.3875     129.7232
      69      79.2849     130.5945
      70      79.2494     131.0101
      71      79.5422     131.1575
      72      80.3031     133.6996
      73      81.7606     135.8640
      74      80.5152     133.7573
      75      79.8807     136.6885
      76      79.4254     138.8983
      77      78.3689     140.5236
      78      79.3638     137.1481
      79      79.2615     136.3515
      80      77.8097     138.6194
      81      79.1938     137.1782
      82      80.4741     136.8783
      83      81.6858     136.2122
      84      80.6288     138.7592
      85      78.3517     138.4243
      86      78.2195     138.0525
      87      79.8036     135.0704
      88      80.0871     136.5916
      89      80.1519     134.6123
      90      80.4786     130.5328
      91      80.4879     129.9636
      92      79.2312     128.0639
      93      77.1887     130.2126
      94      76.0074     130.4022
      95      77.2627     131.8136
      96      75.0781     130.5017
      97      75.9323     129.7119
      98      75.9508     127.7547
      99      74.3227     127.4541
     100      74.9800     126.9631
     101      76.9084     125.8466
     102      76.3843     127.9290
     103      75.3071     126.3710
     104      74.2847     126.9603
     105      73.4864     127.8148
     106      72.9280     131.2731
     107      74.5809     124.6512
     108      72.2771     126.2028
     109      75.1093     124.8012
     110      76.7064     124.7094
     111      76.4571     125.4843
     112      77.3206     123.9958
     113      76.7811     122.0734
     114      75.7300     122.7793
     115      74.3356     121.5180
     116      75.1612     120.7183
     117      74.3656     122.0473
     118      75.9946     127.9096
     119      76.7993     126.9453
     120      74.9928     129.6387
     121      75.8839     131.0040
     122      77.1528     130.9997
